n;zona;municipio;provincia;pais;origen;lat;lon;sol_horas_anio;sol_dias_equiv;dias_despejados;dias_cubiertos;lluvia_dias_anio;lluvia_mm_anio;temp_verano_c;temp_invierno_c;humedad_pct;viento;niebla;clase_clima;min_costa;playa_bano;min_bano;temp_agua_verano;franja;servicios_1_10;servicios_nota;fibra;comunicaciones;comunicaciones_1_10;hospitales;hospital_km;hospital_min;hospital_pub;hospital_priv;aeropuertos;aeropuerto_min;palma_mas_cercano;palma_mejor_opcion;precio_m2_eur;A_2hab_eur;A_3hab_eur;B_2hab_eur;B_3hab_eur;producto_en_presupuesto;obra_nueva;prima_terraza_pct;prima_vistas_mar_pct;prima_terraza_vistas_pct;facilidad_venta_1_10;revalorizacion_1_10;dependencia_coche_1_10;debilidad_principal;comparado_con_mejor
22;O Salnés;Cambados;Pontevedra;España;MAPA 1.0;42.512;-8.814;2350;294;70;120;118;1350;19.5;10.0;79;Baja;Baja;Favorable;2;Praia da Mouta / Praia de Fefiñáns (ría);3;18-20;A;6;Añade: casco histórico, capital del albariño. Falta: instituto de FP;Sí;"VG-4.1 / PO-550; bus; sin tren";5;"Hospital do Salnés (Vilagarcía) [Púb] 11 km · 15 min; Quirónsalud Pontevedra [Priv] 22 km · 25 min; Montecelo (Pontevedra) [Púb] 25 km · 30 min";11;15;11 km · 15 min · Hospital do Salnés (Vilagarcía);22 km · 25 min · Quirónsalud Pontevedra;"Vigo 42 km · 35 min (Palma: verano); Santiago 66 km · 50 min (Palma: casi todo el año)";35;Verano;Santiago (casi todo el año) · 50 min;1500;126800;175500;102400;141800;Sí, en ambas franjas;Poca;7;12;16;7;7;5;"Estacionalidad turística; playas de ría pequeñas. Además: vuelo a Palma solo en verano desde Vigo; el más cercano con conexión anual es Santiago, a 50 min · 200 h de sol menos y 13 días de lluvia más que el mejor de la tabla.";Sol −200 h · Lluvia +13 d · Hospital +10 min · Aeropuerto +25 min
23;O Salnés;A Illa de Arousa;Pontevedra;España;Ampliación;42.556;-8.868;2350;294;70;120;118;1350;19.5;10.0;79;Media;Baja;Favorable;1;O Bao / Area da Secada / Carreirón;2;18-20;A;4;Añade: entorno de playas excepcional. Falta: instituto, comercio grande;Sí;"PO-307 (puente); bus";4;"Hospital do Salnés (Vilagarcía) [Púb] 20 km · 20 min; Quirónsalud Pontevedra [Priv] 30 km · 35 min; Montecelo (Pontevedra) [Púb] 33 km · 35 min";20;20;20 km · 20 min · Hospital do Salnés (Vilagarcía);30 km · 35 min · Quirónsalud Pontevedra;"Vigo 50 km · 40 min (Palma: verano); Santiago 65 km · 50 min (Palma: casi todo el año)";40;Verano;Santiago (casi todo el año) · 50 min;1900;160600;222300;129700;179600;Sí, en ambas franjas;Poca;8;15;20;7;7;6;"Isla con un puente; pocos servicios propios. Además: vuelo a Palma solo en verano desde Vigo; el más cercano con conexión anual es Santiago, a 50 min · 200 h de sol menos y 13 días de lluvia más que el mejor de la tabla · servicios básicos limitados (4/10) · comunicaciones flojas (4/10).";Sol −200 h · Lluvia +13 d · Hospital +15 min · Aeropuerto +30 min
24;O Salnés;Vilanova de Arousa;Pontevedra;España;MAPA 1.0;42.565;-8.828;2350;294;70;120;118;1350;19.5;10.0;79;Media;Baja;Favorable;2;As Sinas / A Braña (ría);3;18-20;A;5;Falta: comercio grande (Vilagarcía a 10 min);Sí;"VG-4.1 / PO-549; bus; sin tren";5;"Hospital do Salnés (Vilagarcía) [Púb] 15 km · 15 min; Quirónsalud Pontevedra [Priv] 27 km · 30 min; Montecelo (Pontevedra) [Púb] 31 km · 35 min";15;15;15 km · 15 min · Hospital do Salnés (Vilagarcía);27 km · 30 min · Quirónsalud Pontevedra;"Vigo 50 km · 40 min (Palma: verano); Santiago 61 km · 50 min (Palma: casi todo el año)";40;Verano;Santiago (casi todo el año) · 50 min;1350;114100;158000;92100;127600;Sí, en ambas franjas;Poca;7;12;16;6;6;6;"Oferta limitada; depende de Vilagarcía. Además: vuelo a Palma solo en verano desde Vigo; el más cercano con conexión anual es Santiago, a 50 min · 200 h de sol menos y 13 días de lluvia más que el mejor de la tabla.";Sol −200 h · Lluvia +13 d · Hospital +10 min · Aeropuerto +30 min
25;O Salnés;Vilagarcía de Arousa;Pontevedra;España;MAPA 1.0;42.594;-8.766;2300;288;70;120;122;1450;19.5;10.0;79;Baja;Baja;Favorable;3;Compostela / A Concha (urbanas, ría);3;18-20;A;8;Añade: hospital propio, tren, puerto;Sí;"AP-9 / VG-4.1; tren Eixo Atlántico; puerto";8;"Hospital do Salnés (Vilagarcía) [Púb] 4 km · 5 min; Quirónsalud Pontevedra [Priv] 27 km · 30 min; Montecelo (Pontevedra) [Púb] 30 km · 35 min";4;5;4 km · 5 min · Hospital do Salnés (Vilagarcía);27 km · 30 min · Quirónsalud Pontevedra;"Vigo 51 km · 40 min (Palma: verano); Santiago 54 km · 45 min (Palma: casi todo el año)";40;Verano;Santiago (casi todo el año) · 45 min;1700;143600;198900;116000;160600;Sí, en ambas franjas;Sí;7;12;16;8;6;3;"Playas urbanas de ría pequeñas; puerto comercial. Además: vuelo a Palma solo en verano desde Vigo; el más cercano con conexión anual es Santiago, a 45 min · 250 h de sol menos y 17 días de lluvia más que el mejor de la tabla.";Sol −250 h · Lluvia +17 d · Hospital = mejor · Aeropuerto +30 min
26;Barbanza e Noia;Rianxo;A Coruña;España;Ampliación;42.652;-8.818;2200;275;65;125;125;1400;19.5;10.0;79;Baja;Baja;Favorable;3;Tanxil / A Torre (ría);3;18-20;A;5;Añade: Santiago a 30 min. Falta: instituto de FP;Sí;"AG-11 / AP-9; bus";6;"Hospital do Barbanza (Ribeira) [Púb] 30 km · 30 min; CHUS (Santiago) [Púb] 41 km · 45 min; HM Rosaleda (Santiago) [Priv] 44 km · 45 min";30;30;30 km · 30 min · Hospital do Barbanza (Ribeira);44 km · 45 min · HM Rosaleda (Santiago);"Santiago 52 km · 40 min (Palma: casi todo el año); Vigo 60 km · 50 min (Palma: verano); A Coruña 98 km · 75 min (Palma: verano)";40;Casi todo el año;Santiago (casi todo el año) · 40 min;1200;101400;140400;81900;113400;Sí, en ambas franjas;Poca;7;12;16;6;6;6;"Fondo de ría; mercado pequeño. Además: 2.200 h de sol y 125 días de lluvia (350 h menos y 20 días más que el mejor de la tabla).";Sol −350 h · Lluvia +20 d · Hospital +25 min · Aeropuerto +30 min
27;Barbanza e Noia;Boiro;A Coruña;España;Ampliación;42.647;-8.885;2250;281;65;125;120;1350;19.5;10.0;79;Baja;Baja;Favorable;3;Barraña / Carragueiros / Cabío;3;18-20;A;6;Añade: villa completa, hospital comarcal a 15 min. Falta: tren;Sí;"AG-11; bus a Santiago";6;"Hospital do Barbanza (Ribeira) [Púb] 15 km · 20 min; CHUS (Santiago) [Púb] 47 km · 50 min; HM Rosaleda (Santiago) [Priv] 50 km · 55 min";15;20;15 km · 20 min · Hospital do Barbanza (Ribeira);50 km · 55 min · HM Rosaleda (Santiago);"Santiago 58 km · 45 min (Palma: casi todo el año); Vigo 62 km · 50 min (Palma: verano); A Coruña 102 km · 75 min (Palma: verano)";45;Casi todo el año;Santiago (casi todo el año) · 45 min;1350;114100;158000;92100;127600;Sí, en ambas franjas;Poca;7;12;16;6;6;5;"Villa de paso, poco atractivo urbano; ría de Arousa. Además: 2.250 h de sol y 120 días de lluvia (300 h menos y 15 días más que el mejor de la tabla).";Sol −300 h · Lluvia +15 d · Hospital +15 min · Aeropuerto +35 min
28;Barbanza e Noia;A Pobra do Caramiñal;A Coruña;España;Ampliación;42.605;-8.936;2250;281;65;125;120;1350;19.5;10.0;79;Media;Baja;Favorable;2;A Corna / Cabío / Lombiña;3;18-20;A;5;Añade: casco histórico, Curota. Falta: comercio grande (Ribeira);Sí;"AG-11 / AC-305; bus";5;"Hospital do Barbanza (Ribeira) [Púb] 7 km · 10 min; CHUS (Santiago) [Púb] 55 km · 60 min; HM Rosaleda (Santiago) [Priv] 58 km · 60 min";7;10;7 km · 10 min · Hospital do Barbanza (Ribeira);58 km · 60 min · HM Rosaleda (Santiago);"Santiago 65 km · 50 min (Palma: casi todo el año); Vigo 106 km · 80 min (Palma: verano); A Coruña 110 km · 80 min (Palma: verano)";50;Casi todo el año;Santiago (casi todo el año) · 50 min;1300;109800;152100;88700;122800;Sí, en ambas franjas;Poca;7;12;16;6;6;6;"Mercado pequeño; puerto pesquero-industrial. Además: 2.250 h de sol y 120 días de lluvia (300 h menos y 15 días más que el mejor de la tabla).";Sol −300 h · Lluvia +15 d · Hospital +5 min · Aeropuerto +40 min
29;Barbanza e Noia;Ribeira;A Coruña;España;Ampliación;42.559;-8.991;2250;281;65;125;118;1250;19.5;10.0;79;Media;Baja;Favorable;2;Coroso / Río Azor / Aguiño;3;17-20;A;7;Añade: hospital comarcal propio, puerto grande, Corrubedo. Falta: tren;Sí;"AG-11 / AC-305; bus a Santiago";6;Hospital do Barbanza (Ribeira) [Púb] 2 km · 5 min;2;5;2 km · 5 min · Hospital do Barbanza (Ribeira);;"Santiago 64 km · 50 min (Palma: casi todo el año); Vigo 113 km · 85 min (Palma: verano); A Coruña 118 km · 90 min (Palma: verano)";50;Casi todo el año;Santiago (casi todo el año) · 50 min;1500;126800;175500;102400;141800;Sí, en ambas franjas;Poca;7;12;16;7;6;4;"Puerto pesquero-industrial en el centro; viento en la punta. Además: sin hospital privado a menos de 60 min · 2.250 h de sol y 118 días de lluvia (300 h menos y 13 días más que el mejor de la tabla).";Sol −300 h · Lluvia +13 d · Hospital = mejor · Aeropuerto +40 min
30;Barbanza e Noia;Porto do Son;A Coruña;España;Ampliación;42.727;-9.003;2200;275;65;125;122;1300;19.5;10.0;79;Media;Media;Favorable;1;Area Longa / Aguieira / Coira;3;17-19;A;4;Falta: instituto de FP, comercio grande (Noia / Ribeira);Parcial;"AC-550; bus";3;"Hospital do Barbanza (Ribeira) [Púb] 25 km · 25 min; CHUS (Santiago) [Púb] 51 km · 55 min; HM Rosaleda (Santiago) [Priv] 54 km · 55 min";25;25;25 km · 25 min · Hospital do Barbanza (Ribeira);54 km · 55 min · HM Rosaleda (Santiago);"Santiago 64 km · 50 min (Palma: casi todo el año); Vigo 77 km · 60 min (Palma: verano); A Coruña 100 km · 75 min (Palma: verano)";50;Casi todo el año;Santiago (casi todo el año) · 50 min;1350;114100;158000;92100;127600;Sí, en ambas franjas;No;7;12;16;5;6;7;"Núcleo pequeño; costa expuesta con bruma. Además: 2.200 h de sol y 122 días de lluvia (350 h menos y 17 días más que el mejor de la tabla) · viento y niebla a temporadas · fibra solo en el casco: fuera, 4G/5G o satélite · prácticamente sin obra nueva: habrá que buscar reciente o reformado · servicios básicos limitados (4/10) · comunicaciones flojas (3/10).";Sol −350 h · Lluvia +17 d · Hospital +20 min · Aeropuerto +40 min
31;Barbanza e Noia;Noia;A Coruña;España;Ampliación;42.784;-8.888;2150;269;65;125;128;1500;19.5;10.0;79;Baja;Media;Intermedio;8;Testal / Boa (ría);8;18-20;B;6;Añade: villa histórica completa, Santiago a 30 min. Falta: hospital (40 min);Sí;"AG-56 / AC-550; bus a Santiago";5;"CHUS (Santiago) [Púb] 36 km · 40 min; HM Rosaleda (Santiago) [Priv] 39 km · 40 min; Hospital do Barbanza (Ribeira) [Púb] 40 km · 40 min";36;40;36 km · 40 min · CHUS (Santiago);39 km · 40 min · HM Rosaleda (Santiago);"Santiago 49 km · 40 min (Palma: casi todo el año); Vigo 79 km · 60 min (Palma: verano); A Coruña 87 km · 65 min (Palma: verano)";40;Casi todo el año;Santiago (casi todo el año) · 40 min;1300;;;88700;122800;Sí, en ambas franjas;Poca;5;8;11;6;6;5;"Fondo de ría con marismas; menos sol que el Salnés. Franja B: villa al fondo de la ría de Muros e Noia; playas de ría a 8 min. Además: hospital público a 40 min · 2.150 h de sol y 128 días de lluvia (400 h menos y 23 días más que el mejor de la tabla).";Sol −400 h · Lluvia +23 d · Hospital +35 min · Aeropuerto +30 min
32;Golfo Ártabro e Ferrol;A Coruña;A Coruña;España;Ampliación;43.362;-8.411;2050;256;50;150;128;1000;19.0;10.5;77;Media;Media;Intermedio;1;Riazor / Orzán / Oza (urbanas);3;17-19;A;10;Añade: ciudad completa (250.000 hab), hospitales, AVE, aeropuerto a 15 min;Sí;"AP-9 / A-6; tren AVE; aeropuerto Alvedro";10;"HM Modelo (A Coruña) [Priv] 1 km · 5 min; CHUAC (A Coruña) [Púb] 3 km · 5 min; Arquitecto Marcide (Ferrol) [Púb] 45 km · 45 min; Juan Cardona (Ferrol) [Priv] 45 km · 45 min";1;5;3 km · 5 min · CHUAC (A Coruña);1 km · 5 min · HM Modelo (A Coruña);"A Coruña 9 km · 10 min (Palma: verano); Santiago 63 km · 50 min (Palma: casi todo el año)";10;Verano;Santiago (casi todo el año) · 50 min;2600;219700;304200;177400;245700;"Sí en B; en A solo 2 hab";Sí;8;15;20;10;7;2;"Ciudad compacta: vistas al mar solo en primera línea, cara; viento y menos sol. Además: vuelo a Palma solo en verano desde A; el más cercano con conexión anual es Santiago, a 50 min · 2.050 h de sol y 128 días de lluvia (500 h menos y 23 días más que el mejor de la tabla) · viento y niebla a temporadas · 3 hab en franja A por encima del presupuesto (≈304.200 €); 2 hab sí.";Sol −500 h · Lluvia +23 d · Hospital = mejor · Aeropuerto = mejor
33;Golfo Ártabro e Ferrol;Oleiros;A Coruña;España;Ampliación;43.333;-8.319;2050;256;50;150;128;1000;19.0;10.5;77;Media;Baja;Intermedio;3;Santa Cristina / Bastiagueiro / Mera;5;17-19;A;7;"Añade: municipio residencial mejor dotado de Galicia; A Coruña a 15 min";Sí;"AC-12 / AP-9 / N-VI; bus frecuente";8;"CHUAC (A Coruña) [Púb] 8 km · 10 min; HM Modelo (A Coruña) [Priv] 10 km · 15 min; Arquitecto Marcide (Ferrol) [Púb] 40 km · 40 min; Juan Cardona (Ferrol) [Priv] 40 km · 40 min";8;10;8 km · 10 min · CHUAC (A Coruña);10 km · 15 min · HM Modelo (A Coruña);"A Coruña 7 km · 10 min (Palma: verano); Santiago 60 km · 45 min (Palma: casi todo el año)";10;Verano;Santiago (casi todo el año) · 45 min;2500;211200;292500;170600;236200;"Sí en B; en A solo 2 hab";Sí;8;15;20;9;7;5;"Precio alto; urbanizaciones dispersas. Además: vuelo a Palma solo en verano desde A; el más cercano con conexión anual es Santiago, a 45 min · 2.050 h de sol y 128 días de lluvia (500 h menos y 23 días más que el mejor de la tabla) · 3 hab en franja A por encima del presupuesto (≈292.500 €); 2 hab sí.";Sol −500 h · Lluvia +23 d · Hospital +5 min · Aeropuerto = mejor
34;Golfo Ártabro e Ferrol;Sada;A Coruña;España;Ampliación;43.357;-8.254;2000;250;50;150;130;1050;19.0;10.5;77;Baja;Baja;Intermedio;1;Sada / Gandarío / Cirro (ría);2;18-20;A;6;Añade: puerto deportivo, paseo. Falta: instituto de FP;Sí;"AC-163 / AP-9; bus";7;"CHUAC (A Coruña) [Púb] 14 km · 15 min; HM Modelo (A Coruña) [Priv] 16 km · 20 min; Arquitecto Marcide (Ferrol) [Púb] 35 km · 35 min; Juan Cardona (Ferrol) [Priv] 35 km · 35 min";14;15;14 km · 15 min · CHUAC (A Coruña);16 km · 20 min · HM Modelo (A Coruña);"A Coruña 14 km · 15 min (Palma: verano); Santiago 65 km · 50 min (Palma: casi todo el año)";15;Verano;Santiago (casi todo el año) · 50 min;2100;177400;245700;143300;198400;Sí, en ambas franjas;Sí;8;15;20;8;7;5;"Ría cerrada; precio alto para su tamaño. Además: vuelo a Palma solo en verano desde A; el más cercano con conexión anual es Santiago, a 50 min · 2.000 h de sol y 130 días de lluvia (550 h menos y 25 días más que el mejor de la tabla).";Sol −550 h · Lluvia +25 d · Hospital +10 min · Aeropuerto +5 min
35;Golfo Ártabro e Ferrol;Bergondo;A Coruña;España;Ampliación;43.316;-8.235;2000;250;50;150;130;1050;19.0;10.5;77;Baja;Media;Intermedio;5;Gandarío / Pedrido (ría);5;18-20;A;4;"Falta: núcleo urbano; comercio en Sada / Betanzos";Parcial;"N-VI / AP-9; bus";7;"CHUAC (A Coruña) [Púb] 17 km · 20 min; HM Modelo (A Coruña) [Priv] 19 km · 20 min; Arquitecto Marcide (Ferrol) [Púb] 30 km · 30 min; Juan Cardona (Ferrol) [Priv] 30 km · 30 min";17;20;17 km · 20 min · CHUAC (A Coruña);19 km · 20 min · HM Modelo (A Coruña);"A Coruña 14 km · 15 min (Palma: verano); Santiago 60 km · 45 min (Palma: casi todo el año)";15;Verano;Santiago (casi todo el año) · 45 min;1700;143600;198900;116000;160600;Sí, en ambas franjas;Poca;5;8;11;6;6;8;"Sin núcleo; parroquias dispersas. Además: vuelo a Palma solo en verano desde A; el más cercano con conexión anual es Santiago, a 45 min · 2.000 h de sol y 130 días de lluvia (550 h menos y 25 días más que el mejor de la tabla) · fibra solo en el casco: fuera, 4G/5G o satélite · servicios básicos limitados (4/10) · coche imprescindible para el día a día.";Sol −550 h · Lluvia +25 d · Hospital +15 min · Aeropuerto +5 min
36;Golfo Ártabro e Ferrol;Miño;A Coruña;España;Ampliación;43.348;-8.204;2000;250;50;150;130;1050;19.0;10.5;77;Baja;Baja;Intermedio;1;Praia Grande de Miño / Perbes;2;18-20;A;4;Añade: tren de cercanías. Falta: instituto, comercio grande;Parcial;"N-651 / AP-9; tren Ferrol–A Coruña";7;"CHUAC (A Coruña) [Púb] 19 km · 20 min; HM Modelo (A Coruña) [Priv] 21 km · 25 min; Arquitecto Marcide (Ferrol) [Púb] 35 km · 35 min; Juan Cardona (Ferrol) [Priv] 35 km · 35 min";19;20;19 km · 20 min · CHUAC (A Coruña);21 km · 25 min · HM Modelo (A Coruña);"A Coruña 35 km · 30 min (Palma: verano); Santiago 65 km · 50 min (Palma: casi todo el año)";30;Verano;Santiago (casi todo el año) · 50 min;1600;135200;187200;109200;151200;Sí, en ambas franjas;Poca;7;12;16;6;6;6;"Muy estacional; servicios limitados. Además: vuelo a Palma solo en verano desde A; el más cercano con conexión anual es Santiago, a 50 min · 2.000 h de sol y 130 días de lluvia (550 h menos y 25 días más que el mejor de la tabla) · fibra solo en el casco: fuera, 4G/5G o satélite · servicios básicos limitados (4/10).";Sol −550 h · Lluvia +25 d · Hospital +15 min · Aeropuerto +20 min
37;Golfo Ártabro e Ferrol;Ares;A Coruña;España;Ampliación;43.428;-8.244;1950;244;50;150;132;1100;19.0;10.5;77;Media;Media;Intermedio;1;Ares / Seselle / Chanteiro;2;17-19;A;4;Falta: instituto de FP, comercio grande (Ferrol / Pontedeume);Parcial;"AC-133 / AP-9; bus";5;"Arquitecto Marcide (Ferrol) [Púb] 25 km · 25 min; Juan Cardona (Ferrol) [Priv] 25 km · 25 min; CHUAC (A Coruña) [Púb] 45 km · 45 min; HM Modelo (A Coruña) [Priv] 45 km · 45 min";25;25;25 km · 25 min · Arquitecto Marcide (Ferrol);25 km · 25 min · Juan Cardona (Ferrol);"A Coruña 57 km · 45 min (Palma: verano); Santiago 99 km · 75 min (Palma: casi todo el año)";45;Verano;Santiago (casi todo el año) · 75 min;1500;126800;175500;102400;141800;Sí, en ambas franjas;Poca;7;12;16;5;6;7;"Mercado pequeño; ría de Ferrol industrial enfrente. Además: vuelo a Palma solo en verano desde A; el más cercano con conexión anual es Santiago, a 75 min · 1.950 h de sol y 132 días de lluvia (600 h menos y 27 días más que el mejor de la tabla) · viento y niebla a temporadas · fibra solo en el casco: fuera, 4G/5G o satélite · servicios básicos limitados (4/10).";Sol −600 h · Lluvia +27 d · Hospital +20 min · Aeropuerto +35 min
38;Golfo Ártabro e Ferrol;Ferrol;A Coruña;España;Ampliación;43.484;-8.233;1950;244;45;155;132;1100;19.0;10.0;78;Media;Media;Intermedio;5;Doniños / San Xurxo / A Frouxeira;10;16-18;A;9;Añade: ciudad completa, hospital, tren. Falta: dinamismo (pérdida de población);Sí;"AP-9 / AC-862; tren; puerto";7;"Arquitecto Marcide (Ferrol) [Púb] 1 km · 5 min; Juan Cardona (Ferrol) [Priv] 1 km · 5 min; CHUAC (A Coruña) [Púb] 45 km · 45 min; HM Modelo (A Coruña) [Priv] 45 km · 45 min";1;5;1 km · 5 min · Arquitecto Marcide (Ferrol);1 km · 5 min · Juan Cardona (Ferrol);"A Coruña 42 km · 35 min (Palma: verano); Santiago 82 km · 65 min (Palma: casi todo el año)";35;Verano;Santiago (casi todo el año) · 65 min;1200;101400;140400;81900;113400;Sí, en ambas franjas;Poca;7;12;16;6;5;3;"Declive demográfico; playas de mar abierto frías; menos sol. Además: vuelo a Palma solo en verano desde A; el más cercano con conexión anual es Santiago, a 65 min · 1.950 h de sol y 132 días de lluvia (600 h menos y 27 días más que el mejor de la tabla) · viento y niebla a temporadas.";Sol −600 h · Lluvia +27 d · Hospital = mejor · Aeropuerto +25 min
39;A Mariña;O Vicedo;Lugo;España;MAPA 1.0;43.734;-7.676;1850;231;40;165;150;1150;18.0;9.5;83;Media;Alta;Intermedio;2;Xilloi / Arealonga / Vidreiro;5;17-19;A;2;Falta: casi todo (Viveiro a 20 min);Parcial;"LU-862; tren FEVE (apeadero)";3;Hospital da Mariña (Burela) [Púb] 35 km · 35 min;35;35;35 km · 35 min · Hospital da Mariña (Burela);;"A Coruña 135 km · 100 min (Palma: verano); Santiago 135 km · 100 min (Palma: casi todo el año); Asturias 156 km · 115 min (Palma: verano)";100;Verano;Santiago (casi todo el año) · 100 min;900;76000;105300;61400;85000;Sí, en ambas franjas;No;5;8;11;3;4;9;"Muy aislado; sin servicios básicos ampliados. Además: hospital público a 35 min · sin hospital privado a menos de 60 min · aeropuerto a 100 min · vuelo a Palma solo en verano desde A; el más cercano con conexión anual es Santiago, a 100 min · 1.850 h de sol y 150 días de lluvia (700 h menos y 45 días más que el mejor de la tabla) · niebla habitual · fibra solo en el casco: fuera, 4G/5G o satélite · prácticamente sin obra nueva: habrá que buscar reciente o reformado · servicios básicos limitados (2/10) · comunicaciones flojas (3/10) · coche imprescindible para el día a día · mercado poco líquido: vender puede llevar tiempo.";Sol −700 h · Lluvia +45 d · Hospital +30 min · Aeropuerto +90 min
40;A Mariña;Viveiro;Lugo;España;MAPA 1.0;43.662;-7.594;1850;231;40;165;150;1150;18.5;9.5;82;Media;Alta;Intermedio;3;Covas / Area (ría abrigada);5;17-19;A;6;Añade: villa histórica completa. Falta: aeropuerto (105 min);Sí;"A-8 (enlace Cabreiros) / LU-862; tren FEVE";5;Hospital da Mariña (Burela) [Púb] 23 km · 25 min;23;25;23 km · 25 min · Hospital da Mariña (Burela);;"Santiago 132 km · 100 min (Palma: casi todo el año); Asturias 142 km · 105 min (Palma: verano); A Coruña 142 km · 105 min (Palma: verano)";100;Casi todo el año;Santiago (casi todo el año) · 100 min;1250;105600;146200;85300;118100;Sí, en ambas franjas;Poca;7;12;16;6;5;5;"Aeropuerto a 105 min; pérdida de población; néboa. Además: sin hospital privado a menos de 60 min · aeropuerto a 100 min · 1.850 h de sol y 150 días de lluvia (700 h menos y 45 días más que el mejor de la tabla) · niebla habitual.";Sol −700 h · Lluvia +45 d · Hospital +20 min · Aeropuerto +90 min
41;A Mariña;Xove;Lugo;España;MAPA 1.0;43.684;-7.512;1850;231;40;165;148;1100;18.5;9.0;82;Media;Alta;Intermedio;5;Esteiro / Portocelo;5;17-19;A;3;Falta: comercio grande (Viveiro / Burela);Parcial;"A-8 / N-642; tren FEVE";5;Hospital da Mariña (Burela) [Púb] 15 km · 20 min;15;20;15 km · 20 min · Hospital da Mariña (Burela);;"Asturias 128 km · 95 min (Palma: verano); Santiago 139 km · 105 min (Palma: casi todo el año); A Coruña 149 km · 110 min (Palma: verano)";95;Verano;Santiago (casi todo el año) · 105 min;950;80300;111200;64800;89800;Sí, en ambas franjas;No;5;8;11;3;4;9;"Población muy pequeña; central térmica cerrada. Además: sin hospital privado a menos de 60 min · aeropuerto a 95 min · vuelo a Palma solo en verano desde Asturias; el más cercano con conexión anual es Santiago, a 105 min · 1.850 h de sol y 148 días de lluvia (700 h menos y 43 días más que el mejor de la tabla) · niebla habitual · fibra solo en el casco: fuera, 4G/5G o satélite · prácticamente sin obra nueva: habrá que buscar reciente o reformado · servicios básicos limitados (3/10) · coche imprescindible para el día a día · mercado poco líquido: vender puede llevar tiempo.";Sol −700 h · Lluvia +43 d · Hospital +15 min · Aeropuerto +85 min
42;A Mariña;Cervo;Lugo;España;MAPA 1.0;43.67;-7.411;1880;235;40;165;146;1050;18.5;9.5;82;Media;Alta;Intermedio;5;Cubelas / O Torno (San Cibrao);5;17-19;A;4;Añade: San Cibrao con playas. Falta: comercio grande (Burela a 10 min);Parcial;"A-8 / N-642; tren FEVE (San Cibrao)";5;Hospital da Mariña (Burela) [Púb] 5 km · 10 min;5;10;5 km · 10 min · Hospital da Mariña (Burela);;"Asturias 120 km · 90 min (Palma: verano); Santiago 144 km · 105 min (Palma: casi todo el año); A Coruña 156 km · 115 min (Palma: verano)";90;Verano;Santiago (casi todo el año) · 105 min;1000;84500;117000;68200;94500;Sí, en ambas franjas;No;5;8;11;4;4;8;"Dependencia de Alcoa (San Cibrao); mercado muy pequeño. Además: sin hospital privado a menos de 60 min · aeropuerto a 90 min · vuelo a Palma solo en verano desde Asturias; el más cercano con conexión anual es Santiago, a 105 min · 1.880 h de sol y 146 días de lluvia (670 h menos y 41 días más que el mejor de la tabla) · niebla habitual · fibra solo en el casco: fuera, 4G/5G o satélite · prácticamente sin obra nueva: habrá que buscar reciente o reformado · servicios básicos limitados (4/10) · coche imprescindible para el día a día · mercado poco líquido: vender puede llevar tiempo.";Sol −670 h · Lluvia +41 d · Hospital +5 min · Aeropuerto +80 min
43;A Mariña;Burela;Lugo;España;MAPA 1.0;43.657;-7.357;1900;238;40;165;145;1000;18.5;9.5;81;Media;Alta;Intermedio;2;A Marosa / Ril;3;17-19;A;6;Añade: hospital comarcal propio, puerto pesquero. Falta: encanto urbano;Sí;"A-8 / N-642; tren FEVE; puerto pesquero";6;Hospital da Mariña (Burela) [Púb] 2 km · 5 min;2;5;2 km · 5 min · Hospital da Mariña (Burela);;"Asturias 113 km · 85 min (Palma: verano); A Coruña 111 km · 85 min (Palma: verano); Santiago 147 km · 110 min (Palma: casi todo el año)";85;Verano;Santiago (casi todo el año) · 110 min;1200;101400;140400;81900;113400;Sí, en ambas franjas;Poca;7;12;16;6;5;5;"Estética urbana industrial-portuaria; aeropuerto a 85 min. Además: sin hospital privado a menos de 60 min · aeropuerto a 85 min · vuelo a Palma solo en verano desde Asturias; el más cercano con conexión anual es Santiago, a 110 min · 1.900 h de sol y 145 días de lluvia (650 h menos y 40 días más que el mejor de la tabla) · niebla habitual.";Sol −650 h · Lluvia +40 d · Hospital = mejor · Aeropuerto +75 min
